app_slug,app_name,tone,prompt,alt_text,video_frame,video_prompt,reveal_video_prompt
accounts,Accounts,serious,"Dark navy background #0a0e1a with subtle amber #f59e0b grid lines receding in perspective like a data floor. In the foreground, translucent frosted-glass panels float at slight angles, each showing abstracted client dashboard fragments — a contacts list, a Jira ticket column, a PR timeline — rendered as soft glowing UI wireframes in cool blue #3b82f6 and muted slate. The word 'ACCOUNTS' is set in a clean condensed sans-serif typeface, large and centered, in crisp white with a faint amber underline glow. Cinematic depth of field blurs the background panels. The feel is command-and-control — a mission-critical operations screen. Photorealistic 3D render, moody studio lighting from above, 3:2 aspect ratio.","Floating glass dashboard panels on dark navy background with amber grid accents",,,
age-of-apes,Age of Apes,fun,"A stylized battle map seen from a dramatic low angle, rendered in rich painterly style with deep jungle greens and volcanic amber #f59e0b glows. Cartoon-military apes silhouetted against explosions and rising smoke, one standing heroically on a fortification wall pointing forward. Calculator readouts and power-level numbers float in the air like a heads-up display, glowing in amber and cyan #22d3ee. The title 'AGE OF APES' is stamped across the top in a bold distressed military stencil font, weathered like it was spray-painted on a bunker wall. Warm firelight from the left, cool moonlight from the right. Illustrated game-art style with cinematic composition, 3:2 aspect ratio.","Game-art battlefield with ape silhouettes, volcanic lava, HUD calculator icon, and cyan tech frame",begin,"The jungle battlefield is alive — lava flows creep along the winding paths, smoke and embers drift upward from the central explosion. The ape silhouettes shift weight and gesture. The HUD frame pulses with cyan energy, the calculator icon cycles numbers. The 'POWER: ALPHA' readout ticks upward. Camera slowly pushes in toward the heroic ape pointing forward as the explosion behind intensifies. Volcanic eruptions flicker in the distance. The 'AGE OF APES' metal plate title catches shifting firelight.","Black screen. A faint volcanic rumble — then a crack of amber lava light splits the darkness horizontally. The crack widens, revealing the jungle battlefield beneath as if the black screen is tearing apart. Smoke and embers rush upward through the opening. The HUD frame flickers on in cyan. Ape silhouettes emerge from the smoke. The 'AGE OF APES' title slams into frame. The black recedes to the edges as the full battlefield composition is revealed."
ai-calculator,AI Calculator,serious,"A sleek dark workspace #0a0e1a with a single glowing holographic projection hovering above a minimal black desk surface. The projection shows an ROI dashboard — an upward-trending line graph in amber #f59e0b, percentage badges reading '340% ROI', stacked bar charts in violet #8b5cf6 and emerald #22c55e, and dollar figures in soft white type. The hologram casts warm amber light across the desk surface. 'AI CALCULATOR' is rendered in a thin modern sans-serif at the bottom of the hologram, glowing in white with amber reflections. A subtle frosted-glass effect frames the data. Clean, futuristic, corporate. Photorealistic 3D render, shallow depth of field, 3:2 aspect ratio.","Holographic ROI dashboard with 340% line graph and violet-emerald bar charts above dark desk",begin,"The ROI dashboard hologram hovers above the desk — the amber line graph animates in real time, climbing steadily from left to right. The 340% ROI badge pulses. The violet and emerald bar charts grow incrementally as new months of data tick in. Dollar values count upward. The hologram flickers slightly with energy. The 'AI CALCULATOR' title at the bottom catches shifting amber reflections from the data above. The desk surface glows warmer as the numbers climb. Confident, data-driven momentum.","Black screen. A single point of amber light appears above a dark desk surface and expands into a holographic frame. The ROI line graph draws itself from left to right — the amber line climbing steadily. The '340%' badge pulses into view. Bar charts rise from the baseline in violet and emerald. Dollar figures fade in. The hologram brightens, casting warm light across the desk. 'AI CALCULATOR' illuminates at the bottom. The full dashboard composition stabilizes — futuristic and corporate."
alpha-wins,Alpha Wins,serious,"Dark navy #0a0e1a background with a dramatic burst of amber #f59e0b and gold particles exploding from the center like a trophy moment — confetti, light streaks, and sparkle debris frozen mid-air. In the center, a minimal geometric trophy or star shape rendered in frosted glass catches the amber light. Below it, 'ALPHA WINS' is set in a bold uppercase serif typeface with generous letter-spacing, in bright white with a subtle gold gradient. The composition feels like a celebration freeze-frame. Moody studio lighting with the amber burst as the primary light source, dark edges vignetting inward. Photorealistic 3D render, 3:2 aspect ratio.","Gold and amber particle burst around a glass trophy shape on dark background",,,
area-52,Area 52,fun,"A top-secret classified folder on a dark steel desk #0a0e1a, slightly open with amber #f59e0b light leaking out from inside. Stamped across the folder in bold red ink: 'CLASSIFIED'. Construction tape in yellow and black diagonals crosses the frame. Scattered around: redacted documents with black bars, a coffee ring stain, a pen, and a flickering desk lamp casting dramatic film-noir shadows. 'AREA 52' is stenciled in a military block font at the top, glowing faintly in amber like it was burned into the image. The mood is mysterious and conspiratorial. Cinematic film-noir lighting, shallow depth of field on the folder, 3:2 aspect ratio.","Classified folder with amber light and hazard tape on dark steel desk with redacted documents",begin,"Starting on the composed desk scene — the classified folder sits slightly open with amber light leaking out. The folder slowly opens further, the amber light intensifying and casting long moving shadows across the desk. Redacted documents flutter slightly as if from a draft. The desk lamp flickers. The 'AREA 52' title glows brighter, pulsing. The camera slowly pushes in toward the folder opening as the amber light overwhelms the frame, as if we're about to see what's inside — then cuts to white.","Black screen. A desk lamp clicks on with a harsh flicker, casting a narrow cone of light onto the dark steel desk below. The classified folder slides into the light from the left. Hazard tape stretches across the frame. Redacted documents scatter onto the desk one by one. The folder cracks open — amber light leaks out, growing brighter. The 'AREA 52' stencil burns into view at the top. The full noir desk scene assembles as the lamp settles into its dramatic position."
brommie-quake,Brommie Quake,fun,"A packed soccer stadium at golden hour, shot from the field level looking up into the stands. A single kid stands in front of the crowd section, facing them with arms raised high, hyping them up to start a wave. The crowd behind the kid is a wall of teal and black San Jose Earthquakes colors, some fans already standing with arms up, the wave just beginning to ripple outward from the kid's section. Stadium floodlights create dramatic God-rays through atmospheric haze. The kid is center frame, small but commanding against the enormous crowd — a conductor of chaos. 'BROMMIE QUAKE' is rendered in a bold italic sports display font across the bottom third, white with a subtle earthquake-crack texture through the letters. Documentary sports photography feel, wide-angle lens, 3:2 aspect ratio.","Kid on field with arms raised leading a stadium wave at golden hour with teal Earthquakes crowd",begin,"The kid stands on the field with arms raised facing the teal crowd. The wave begins — fans in the nearest section rise with arms up, the motion rippling outward section by section through the stadium. God-rays shift through atmospheric haze as the floodlights catch the movement. The kid pumps their arms higher, conducting the wave. The golden hour light intensifies. 'BROMMIE QUAKE' shakes subtly with a seismic tremor at the bottom. The wave reaches the far stands and starts cycling back around.","Black screen. Golden amber light bleeds in from the top — stadium floodlights piercing through darkness. The field grass fades in below. A kid's silhouette appears at center, arms at their sides. They raise their arms high. The crowd materializes behind them — a wall of teal and black, blurred at first, sharpening as fans start rising. The wave begins rippling outward. 'BROMMIE QUAKE' slams in at the bottom with an earthquake crack. The full golden-hour stadium scene is revealed."
command-center,Command Center,serious,"A dramatic wide shot of a dark operations room #0a0e1a with multiple floating holographic screens arranged in a semicircle, each showing different data modules — a lead pipeline, agent status indicators, cron job timelines, a recipe database, user analytics. All screens glow in cool blue #3b82f6 and violet #8b5cf6 with amber #f59e0b highlights on key metrics. The screens cast colored light across a sleek dark console desk. No people — just the command center itself, waiting. 'COMMAND CENTER' is rendered in a wide-tracked condensed sans-serif across the top, in bright white with a faint scan-line effect. The mood is mission control at 2 AM. Photorealistic 3D render, wide-angle, 3:2 aspect ratio.","Dark operations room with semicircle of holographic data screens in blue and amber",,,
cringe-rizzler,Cringe Rizzler,fun,"A chaotic explosion of Gen Alpha slang words — 'no cap', 'fr fr', 'skibidi', 'bussin', 'rizz' — flying outward from the center in a variety of bubbly, dripping, and graffiti-style fonts, rendered in hot pink #ec4899, electric violet #8b5cf6, lime green #22c55e, and cyan #22d3ee against a dark navy #0a0e1a background. The words overlap and layer at wild angles. In the center, 'CRINGE RIZZLER' is the largest text, set in a chunky rounded bubble-letter font with a glossy 3D effect and a pink-to-violet gradient. Emoji-like icons (skull, fire, 100) are scattered between words. The vibe is chaotic, loud, and deliberately over-the-top. Bold graphic design style, 3:2 aspect ratio.","Chaotic explosion of colorful Gen Alpha slang in graffiti fonts with comic-book energy",begin,"Starting from the chaotic explosion of slang words — everything is vibrating with energy. The words pulse and bounce in place: 'no cap' wobbles, 'skibidi' spins, 'bussin' stretches like bubblegum. 'CRINGE RIZZLER' in the center throbs with a glossy heartbeat effect. Emoji icons — skull, fire, rocket — orbit around the center. New slang words pop in from the edges in random fonts and colors. Comic-book burst lines pulse outward. The whole composition buzzes with chaotic Gen Alpha energy, never settling, always moving.","Black screen. A single pink letter 'R' pops in at center with a glossy bounce. Then 'I'... 'Z'... 'Z' — each in a different color and font, popping in faster and faster. Slang words start exploding outward from behind the letters — 'no cap' in bubbly font, 'skibidi' dripping, 'bussin' in graffiti — filling the frame in chaotic layers. Emoji icons scatter between them. The full 'CRINGE RIZZLER' title assembles in the center as the word explosion reaches its peak. Maximum chaos achieved."
dad-joke-of-the-day,Dad Joke of the Day,fun,"A classic dad scene: a worn leather recliner photographed from a low angle, with a single dramatic spotlight from above casting warm amber #f59e0b light like a comedy stage spot. On the chair arm, a coffee mug that reads 'World's Okayest Dad'. Floating above the chair like thought bubbles, translucent speech bubbles contain tiny punchline fragments in a friendly rounded sans-serif. The background is deep navy #0a0e1a fading to black. 'DAD JOKE OF THE DAY' is rendered across the bottom in a warm, slightly retro serif typeface — think 1970s sitcom title card — in cream white with a soft amber glow. The mood is cozy, groan-worthy, and warm. Cinematic studio lighting, shallow depth of field, 3:2 aspect ratio.","Leather recliner under comedy spotlight with speech bubbles and World's Okayest Dad mug",begin,"Starting on the cozy recliner scene under the amber spotlight. The speech bubbles above the chair gently float and bob. A new speech bubble rises from the chair with a punchline typing itself in letter by letter. The 'World's Okayest Dad' mug steams faintly. The spotlight beam subtly shifts, dust motes drifting through it. The title 'DAD JOKE OF THE DAY' at the bottom gives a slow warm pulse. The camera drifts in slightly as another speech bubble rises. Cozy late-night comedy club energy.","Black screen. An amber spotlight snaps on from above with an audible click, its cone of warm light widening to reveal the empty leather recliner below. The 'World's Okayest Dad' mug catches the light on the armrest. Speech bubbles pop in one at a time above the chair — floating up gently with a soft bounce. 'DAD JOKE OF THE DAY' types across the bottom in retro serif, each letter appearing with a warm glow. Dust motes drift through the spotlight beam. The cozy scene fully reveals."
daily-updates,Daily Updates,serious,"An abstract data stream visualization on dark navy #0a0e1a — horizontal streaks of light in amber #f59e0b, emerald #22c55e, and soft blue #3b82f6 flowing left to right like a real-time activity feed rendered as light trails. Small glowing notification dots pulse along the streams. The streaks have varying speeds and intensities suggesting different types of updates. 'DAILY UPDATES' is set in a clean geometric sans-serif in the center, bright white, with the light streams flowing behind and through the letters. The composition suggests constant motion and information flow. Photorealistic 3D render, motion blur on the light trails, 3:2 aspect ratio.","Horizontal light streams in amber emerald and blue flowing across dark background",begin,"Light streams are already flowing left to right — amber, emerald, and blue trails with motion blur streaking across the dark navy background. New streams launch from the left edge at varying speeds, some fast and bright, others slow and dim. Notification dots pulse along the trails like data packets. The 'DAILY UPDATES' title holds steady in the center as streams flow behind and through the letters, creating a parallax depth effect. Occasional bright bursts indicate new updates arriving. The streams keep flowing endlessly.","Black screen. A single amber light streak launches from the left edge and shoots across the frame, leaving a motion-blurred trail. Then an emerald streak. Then blue. More streams follow at varying speeds, building in density. Notification dots begin pulsing along the trails. The 'DAILY UPDATES' title fades in at center as streams flow behind and through the letters. The dark background fills with flowing light trails until the full data-stream composition is alive with movement."
